"","자치구","살인_발생","살인_검거","살인_검거율","강도_발생","강도_검거","강도_검거율","강간_발생","강간_검거","강간_검거율","절도_발생","절도_검거","절도_검거율","폭력_발생","폭력_검거","폭력_검거율","범죄_발생_총합","범죄_검거_총합","검거율"
"1","종로구",7,5,71,10,8,80,253,173,68,1644,658,40,2143,1837,85,4057,2681,66
"2","중구",1,0,0,9,9,100,267,149,55,1846,889,48,2061,1804,87,4184,2851,68
"3","용산구",1,1,100,5,4,80,327,289,88,1346,626,46,2381,2016,84,4060,2936,72
"4","성동구",1,1,100,3,3,100,132,106,80,1072,543,50,1559,1378,88,2767,2031,73
"5","광진구",6,5,83,13,8,61,261,208,79,2220,1168,52,2146,1900,88,4646,3289,70
"6","동대문구",11,10,90,3,5,166,165,149,90,1547,1017,65,2249,2093,93,3975,3274,82
"7","중랑구",5,5,100,3,4,133,172,144,83,1533,813,53,2858,2426,84,4571,3392,74
"8","성북구",7,7,100,8,8,100,173,134,77,1344,703,52,1902,1627,85,3434,2479,72
"9","강북구",8,8,100,7,5,71,208,153,73,1014,635,62,2156,2023,93,3393,2824,83
"10","도봉구",1,1,100,3,3,100,104,115,110,633,417,65,1258,1116,88,1999,1652,82
"11","노원구",4,4,100,9,7,77,180,155,86,1538,757,49,2478,2124,85,4209,3047,72
"12","은평구",6,6,100,4,4,100,230,213,92,1387,934,67,2256,2050,90,3883,3207,82
"13","서대문구",4,4,100,1,2,200,202,181,89,1230,719,58,1676,1393,83,3113,2299,73
"14","마포구",3,3,100,8,8,100,500,429,85,2094,837,39,2673,2222,83,5278,3499,66
"15","양천구",3,2,66,3,2,66,138,122,88,1590,756,47,2148,1778,82,3882,2660,68
"16","강서구",11,11,100,4,6,150,316,253,80,1888,1113,58,2916,2544,87,5135,3927,76
"17","구로구",7,8,114,8,6,75,328,181,55,1725,869,50,2827,2344,82,4895,3408,69
"18","금천구",5,5,100,5,5,100,240,212,88,1141,674,59,1874,1676,89,3265,2572,78
"19","영등포구",15,13,86,5,5,100,455,267,58,2304,1108,48,3190,2619,82,5969,4012,67
"20","동작구",1,1,100,7,9,128,396,173,43,1226,593,48,1700,1466,86,3330,2242,67
"21","관악구",8,7,87,7,6,85,379,323,85,1979,1152,58,3152,2666,84,5525,4154,75
"22","서초구",9,10,111,13,7,53,470,283,60,1812,835,46,2404,2102,87,4708,3237,68
"23","강남구",7,7,100,20,24,120,607,496,81,3130,1383,44,3956,3411,86,7720,5321,68
"24","송파구",6,6,100,1,3,300,288,242,84,2274,1026,45,3007,2593,86,5576,3870,69
"25","강동구",5,6,120,10,12,120,172,169,98,1645,949,57,2429,2109,86,4261,3245,76
