"","m_title","m_review"
"1","82년생 김지영","82년생 김지영나도 결혼전에는 이해 못하고 전혀 이해할 생각없는 그런 부류의 여자였으면. 결혼하고 보니. 지영이의 삶이 나랑 같다는걸 느꼈다  맞벌이는 당연하고 애도 낳아서 육아도 잘해야 하며 집안일도 척척잘해야 하고 등등등 결혼 안한 사람들은 절대 공감 못한다 우수게 소리로 시집가면 시금치도 안먹는다는 현실을  .... 결혼은 정말 현실인걸 알아야 한다. 결혼전에 내 삶은 자유와 낭만이었다면 결혼 후에 삶은 자유의 대한 동의와 정말 리얼현실인걸 ㅋㅋ 나는 결혼하고. 첫명절때 알아 버렸당 신고"
"2","82년생 김지영","82년생 김지영눈물 엄청 났네요 꼭 보세요 신고"
"3","82년생 김지영","82년생 김지영너무 한쪽으로 치우친 영화 살면서 본 영화중 가장 최악인 영화 신고"
"4","82년생 김지영","82년생 김지영내 이야기이기도 하고 우리엄마 이야기이기도 하고 내 주변 누군가의 이야기이기도 한 그런 영화. 신고"
"5","타이타닉 2","타이타닉 2후.. 훌륭한 CG 신고"
"6","82년생 김지영","82년생 김지영잔잔하게 흘러가는 이야기에 마음이 격하게 요동친다 신고"
"7","82년생 김지영","82년생 김지영남자들은 왜 이 영화가 재미없는거지?남자들이 함께 보면 참 좋을 영화인데..ㅠ페미니즘도 아닌데..이 영화를 와이프랑 여친이랑 함께 봐주는 남자들은 어쩜 이 영화가 필요없을지도.!강추합니다!여성분들은 꼭 티슈나 손수건요~ㅋ 신고"
"8","판소리 복서","판소리 복서지일~지일~ 늘어지는 연출 신고"
"9","변신","변신정말.. 별로임..미스캐스팅에... 엉성.. 신고"
"10","82년생 김지영","82년생 김지영마음이 저려 오는 영화입니다. 저는 남자, 올해 마블 영화보다 훨씬 좋았습니다. 신고"
